Title,Author,Publication Date,Pages,Genre,Rating,Summary,Converted
Murder on Family Grounds,Susan  Rowland,"March 1, 2024",334 pages,"['Mystery', 'Mystery Thriller', 'Drama']",4.3,"Who is killing off members of the Falconer family and why? Such is the challenge confronting highly skilled, extraordinarily intuitive Mary Wandwalker when she finds herself single, sixty and jobless. Long ago as an Oxford student with an unplanned pregnancy, Mary knew the Falconers as the family who refused to help when her fiancé, David Falconer died in a car crash. Now the baby boy she gave up for adoption is a policeman, George Jones, and he wants to meet her. Can Mary bring herself to confront her past? She must, for lost in her memory is a clue that could save her son’s life. Back in 1979, Mary wrote to the Falconers and was rejected. Now forty years later, key phrases from her letter appear in the faked suicide note of Perdita Falconer. Neither Perdita nor her killer had access to Mary’s document. Too exact for coincidence, the link is the pseudonym of the drug dealer who supplied her fatal dose. He or she is known as “the Kestrel. ”When Mary was romanced by David Falconer in the 1970s, “the Kestrel” was codename for a Russian spy entertained at Falconer House. Could the resurrection of the nom de plume be connected to Viktor Solokov, the Russian oligarch renting the Falconer estate with his beautiful wife, Anna? For the Falconers have dark secrets, some centuries old. When George Jones’s wife Caroline begs Mary to save her husband from treacherous Anna, and the murderous talons of the Kestrel, Mary must act.",0
Lock and Key,Sarah Dessen,"April 22, 2008",432 pages,"['Young Adult', 'Romance', 'Contemporary']",3.99,"Ruby, where is your mother? Ruby knows that the game is up. For the past few months, she's been on her own in the yellow house, managing somehow, knowing that her mother will probably never return. That's how she comes to live with Cora, the sister she hasn't seen in ten years, and Cora's husband Jamie, whose down-to-earth demeanor makes it hard for Ruby to believe he founded the most popular networking Web site around. A luxurious house, fancy private school, a new wardrobe, the promise of college and a future; it's a dream come true. So why is Ruby such a reluctant Cinderella, wary and defensive? And why is Nate, the genial boy next door with some secrets of his own, unable to accept the help that Ruby is just learning to give? Best-selling author Sarah Dessen explores the heart of a gutsy, complex girl dealing with unforeseen circumstances and learning to trust again.",0
A Winter Grave,Peter  May,"January 19, 2023",368 pages,"['Crime', 'Mystery', 'Thriller']",4.08,"It is the year 2051. Warnings of climate catastrophe have been ignored, and vast areas of the planet are under water, or uninhabitably hot. A quarter of the world's population has been displaced by hunger and flooding, and immigration wars are breaking out around the globe as refugees pour into neighboring countries.By contrast, melting ice sheets have brought the Gulf Stream to a halt and northern latitudes, including Scotland, are being hit by snow and ice storms. It is against this backdrop that Addie, a young meteorologist checking a mountain top weather station, discovers the body of a man entombed in ice.The dead man is investigative reporter, George Younger, missing for three months after vanishing during what he claimed was a hill-walking holiday. But Younger was no hill walker, and his discovery on a mountain-top near the Highland village of Kinlochleven, is inexplicable.Cameron Brodie, a veteran Glasgow detective, volunteers to be flown north to investigate Younger's death, but he has more than a murder enquiry on his agenda. He has just been given a devastating medical prognosis by his doctor and knows the time has come to face his estranged daughter who has made her home in the remote Highland village.Arriving during an ice storm, Brodie and pathologist Dr. Sita Roy, find themselves the sole guests at the inappropriately named International Hotel, where Younger's body has been kept refrigerated in a cake cabinet. But evidence uncovered during his autopsy places the lives of both Brodie and Roy in extreme jeopardy.As another storm closes off communications and the possibility of escape, Brodie must face up not only to the ghosts of his past, but to a killer determined to bury forever the chilling secret that George Younger's investigations had threatened to expose.",0
Deception Point,Dan    Brown,"January 1, 2001",556 pages,"['Fiction', 'Thriller', 'Mystery']",3.76,"A shocking scientific discovery. A conspiracy of staggering brilliance. A thriller unlike any you've ever read....When a new NASA satellite spots evidence of an astonishingly rare object buried deep in the Arctic ice, the floundering space agency proclaims a much-needed victory… a victory that has profound implications for U.S. space policy and the impending presidential election.With the Oval Office in the balance, the President dispatches White House Intelligence analyst Rachel Sexton to the Milne Ice Shelf to verify the authenticity of the find. Accompanied by a team of experts, including the charismatic academic Michael Tolland, Rachel uncovers the unthinkable—evidence of scientific trickery—a bold deception that threatens to plunge the world into controversy.But before Rachel can contact the President, she and Michael are attacked by a deadly task force…a private team of assassins controlled by a mysterious powerbroker who will stop at nothing to hide the truth. Fleeing for their lives in an environment as desolate as it is lethal, they possess only one hope, to find out who is behind this masterful ploy. The truth, they will learn, is the most shocking deception of all…",0
Rules of Attraction,Simone Elkeles,"April 13, 2010",336 pages,"['Romance', 'Young Adult', 'Contemporary']",4.18,"Carlos Fuentes doesn't want any part of the life his older brother, Alex, has laid out for him in Boulder, Colorado. He wants to keep living on the edge, and carve his own path-just like Alex did. Unfortunately, his ties to a Mexican gang aren't easy to break, and he soon finds himself being set up by a drug lord. When Alex arranges for Carlos to live with his former professor and his family to keep him from being sent to jail, Carlos feels completely out of place. He's even more thrown by his strong feelings for the professor's daughter, Kiara, who is nothing like the girls he's usually drawn to. But Carlos and Kiara soon discover that in matters of the heart, the rules of attraction overpower the social differences that conspire to keep them apart.As the danger grows for Carlos, he's shocked to discover that it's this seemingly All-American family who can save him. But is he willing to endanger their safety for a chance at the kind of life he's never even dreamed possible?",0
Lover Mine,J.R. Ward,"April 27, 2010",528 pages,"['Paranormal', 'Romance', 'Paranormal Romance']",4.39,"John Matthew has come a long way since he was found living among humans, his vampire nature unknown to himself and to those around him. After he was taken in by the Brotherhood, no one could guess what his true history was- or his true identity. Indeed, the fallen Brother Darius has returned, but with a different face and a very different destiny. As a vicious personal vendetta takes John into the heart of the war, he will need to call up on both who he is now and who he once was in order to face off against evil incarnate.Xhex, a symphath assassin, has long steeled herself against the attraction between her and John Matthew. Having already lost one lover to madness, she will not allow the male of worth to fall prey to the darkness of her twisted life. When fate intervenes, however, the two discover that love, like destiny, is inevitable between soul mates.",0
Redeeming Love,Francine Rivers,"January 1, 1991",479 pages,"['Romance', 'Christian', 'Christian Fiction']",4.51,"California’s gold country, 1850. A time when men sold their souls for a bag of gold and women sold their bodies for a place to sleep. Angel expects nothing from men but betrayal. Sold into prostitution as a child, she survives by keeping her hatred alive. And what she hates most are the men who use her, leaving her empty and dead inside. Then she meets Michael Hosea. A man who seeks his Father’s heart in everything, Michael Hosea obeys God’s call to marry Angel and to love her unconditionally. Slowly, day by day, he defies Angel’s every bitter expectation until, despite her resistance her frozen heart begins to thaw. But with her unexpected softening come overwhelming feelings of unworthiness and fear. And so Angel runs. Back to the darkness, away from her husband’s pursuing love, terrified of the truth she can no longer deny: Her final healing must come from the One who loves her even more than Michael Hosea does…the One who will never let her go. A life-changing story of God’s unconditional, redemptive, all-consuming love.--back cover",0
Where She Went,Gayle Forman,"April 5, 2011",264 pages,"['Young Adult', 'Romance', 'Contemporary']",3.97,"It's been three years since the devastating accident... three years since Mia walked out of Adam's life forever.Now living on opposite coasts, Mia is Juilliard's rising star and Adam is LA tabloid fodder, thanks to his new rock star status and celebrity girlfriend. When Adam gets stuck in New York by himself, chance brings the couple together again, for one last night. As they explore the city that has become Mia's home, Adam and Mia revisit the past and open their hearts to the future - and each other.Told from Adam's point of view in the spare, lyrical prose that defined If I Stay, Where She Went explores the devastation of grief, the promise of new hope, and the flame of rekindled romance.",0
Souls Unfractured,Tillie Cole,"August 9, 2015",371 pages,"['Dark', 'Romance', 'Contemporary']",4.41,"""For fractured souls are like magnets.Drawn to collide into an impossible bliss…""Labeled a ‘Cursed’ woman of Eve from birth, Maddie has endured nothing but pain and repression at the hands of The Order’s most abusive elder, Moses. Now living with her sister in The Hangmen’s secluded compound, finally, Maddie, is free. Free from the suffocating faith she no longer believes in. Free from endless years of physical and mental torment.Just… free…At age twenty-one, the timid and shy Maddie is content to live within the confines of her new home—safe from the outside world, safe from harm and, strangely, protected by the Hangmen’s most volatile member; the heavily pierced and tattooed, Flame. Flame. The man who ceaselessly watches over her with his midnight dark and searing eyes. The man who protects her with a breath-taking intensity. And the man who stirs something deep within her numbed heart.  But when circumstances conspire for Flame to need HER help, Maddie bravely risks it all for the broken man who has captivated her fragile soul. The Hangmen’s most infamous member, Flame, is ruled by one thing—anger. Plagued by haunting demons from his past, an all-consuming rage, and isolated by an abhorrent hatred of being touched, Flame's days are filled with suffocating darkness, pierced only by a single ray of light—Maddie. The shy, beautiful woman he cannot purge from his thoughts. The woman he has an overwhelming need to possess… ... the only person who has ever been able to touch him. Flame’s mission in life is to protect Maddie, to keep her safe. Until a trigger from his troubled past sends him spiraling into madness, trapping him in the deepest recesses of his disturbed mind. His Hangmen brothers fear that Flame is beyond saving. His only hope of salvation: Maddie and her healing light.Dark Contemporary Romance.Contains explicit sexual situations, violence, disturbingly sensitive and taboo subjects, offensive language, and very mature topics.Recommended for age 18 years and over.The Hades Hangmen series has been taken down from Amazon and is no longer for sale.",0
Inkdeath,Cornelia Funke,"September 28, 2007",699 pages,"['Fantasy', 'Young Adult', 'Fiction']",3.98,"The masterful conclusion to the epic, award-winning, bestselling INKHEART trilogy by internationally acclaimed author Cornelia Funke. The Adderhead--his immortality bound in a book by Meggie's father, Mo--has ordered his henchmen to plunder the villages. The peasants' only defense is a band of outlaws led by the Bluejay--Mo's fictitious double, whose identity he has reluctantly adopted. But the Book of Immortality is unraveling, and the Adderhead again fears the White Women of Death. To bring the renegade Bluejay back to repair the book, the Adderhead kidnaps all the children in the kingdom, dooming them to slavery in his silver mines unless Mo surrends. First Dustfinger, now Mo: Can anyone save this cursed story?",0
Corrupt,Penelope Douglas,"November 15, 2015",516 pages,"['Dark', 'New Adult', 'Contemporary']",3.8,"Erika I was told that dreams were our heart’s desires. My nightmares, however, became my obsession. His name is Michael Crist. My boyfriend’s older brother is like that scary movie that you peek through your hand to watch. He is handsome, strong, and completely terrifying. The star of his college’s basketball team and now gone pro, he’s more concerned with the dirt on his shoe than me. But I noticed him.I saw him. I heard him. The things that he did, and the deeds that he hid…For years, I bit my nails, unable to look away. Now, I’ve graduated high school and moved on to college, but I haven’t stopped watching Michael. He’s bad, and the dirt I’ve seen isn’t content to stay in my head anymore. Because he’s finally noticed me. MichaelHer name is Erika Fane, but everyone calls her Rika.My brother’s girlfriend grew up hanging around my house and is always at our dinner table. She looks down when I enter a room and stills when I am close. I can always feel the fear rolling off of her, and while I haven’t had her body, I know that I have her mind. That’s all I really want anyway. Until my brother leaves for the military, and I find Rika alone at college. In my city. Unprotected. The opportunity is too good to be true as well as the timing. Because you see, three years ago she put a few of my high school friends in prison, and now they’re out. We’ve waited. We’ve been patient. And now every last one of her nightmares will come true. ***Corrupt can be read as a stand-alone. No cliffhanger.",0
A Court of Mist and Fury,Sarah J. Maas,"May 3, 2016",626 pages,"['Fantasy', 'Romance', 'Young Adult']",4.65,"The seductive and stunning #1 New York Times bestselling sequel to Sarah J. Maas's spellbinding A Court of Thorns and Roses .Feyre has undergone more trials than one human woman can carry in her heart. Though she's now been granted the powers and lifespan of the High Fae, she is haunted by her time Under the Mountain and the terrible deeds she performed to save the lives of Tamlin and his people.As her marriage to Tamlin approaches, Feyre's hollowness and nightmares consume her. She finds herself split into two different one who upholds her bargain with Rhysand, High Lord of the feared Night Court, and one who lives out her life in the Spring Court with Tamlin. While Feyre navigates a dark web of politics, passion, and dazzling power, a greater evil looms. She might just be the key to stopping it, but only if she can harness her harrowing gifts, heal her fractured soul, and decide how she wishes to shape her future-and the future of a world in turmoil.Bestselling author Sarah J. Maas's masterful storytelling brings this second book in her dazzling, sexy, action-packed series to new heights.",0
Midnight Alley,Rachel Caine,"October 2, 2007",245 pages,"['Vampires', 'Young Adult', 'Paranormal']",4.09,"MORGANVILLE IS SUCH A NICE PLACE TO LIVE... AND DIE. IF YOU DON'T MIND THAT SORT OF THING. When Claire Danvers learnt that her college town was run by vampires, she did what any intelligent, self-preserving student would do: she applied for a transfer and stocked up on garlic. The transfer is no longer an option, but that garlic may come in handy. Now Claire has pledged herself to Amelie, the most powerful vampire in town. The protection her contract secures does little to reassure her friends. All of a sudden, people are turning up dead, a stalker resurfaces from Claire's past, and an ancient bloodsucker extends a chilling invitation for private lessons in his secluded home.",0
The Lies of Locke Lamora,Scott Lynch,"June 1, 2006",752 pages,"['Fantasy', 'Fiction', 'Audiobook']",4.31,"ASIN B000JMKNJ2 moved to the more recent editionAn orphan’s life is harsh—and often short—in the mysterious island city of Camorr. But young Locke Lamora dodges death and slavery, becoming a thief under the tutelage of a gifted con artist. As leader of the band of light-fingered brothers known as the Gentleman Bastards, Locke is soon infamous, fooling even the underworld’s most feared ruler. But in the shadows lurks someone still more ambitious and deadly. Faced with a bloody coup that threatens to destroy everyone and everything that holds meaning in his mercenary life, Locke vows to beat the enemy at his own brutal game—or die trying.",0
Feast of Fools,Rachel Caine,"June 3, 2008",242 pages,"['Vampires', 'Young Adult', 'Paranormal']",4.15,"It was hard to imagine how Claire's day could get any worse... And then the vampires holding her hostage wanted breakfast.In the town of Morganville, vampires and humans have learned to live in relative peace. Still, Claire Danvers knows that after dark, her homework often takes a backseat to staying alive. This fragile harmony is shattered with the arrival of Mr. Bishop.Bad to the bone, the ancient, old-school vampire cares nothing about maintaining peace—staying at the top of the food chain is enough for him. What he wants from the town’s living and dead is unthinkably sinister. It’s only at a formal ball, attended by vampires and their human dates, that Claire realizes Bishop’s plan—and the elaborately evil trap he’s set for the warm-blooded souls of Morganville...""Thrilling, sexy, and funny! These books are addictive. One of my very favourite vampire series.""—Richelle Mead, author of the international bestselling Vampire Academy series.",0
Gray After Dark,Noelle W. Ihli,"March 22, 2024",370 pages,"['Thriller', 'Mystery Thriller', 'Mystery']",4.24,"A merciless wilderness. A harrowing attack. A desperate escape.When a tragic accident sidelines Miley's dreams of Olympic gold, she takes a summer job at a mountain guest lodge.The Frank Church Wilderness is remote, but it’s the perfect place to train and recover. Local lore about a staffer who died years ago doesn’t scare her. But it should. Miley’s plans take a terrifying detour when she’s abducted during a morning run. Held captive in a desolate off-grid cabin, she’ll have to use her athletic prowess, cunning mind, and courage to survive. But as the nightmare at the cabin escalates, Miley is forced to form an unlikely alliance and attempt a risky escape.Can she outwit her captors and survive the wilderness before it’s too late?Inspired by true events, Gray After Dark is a pulse-pounding psychological thriller with a finale that will leave you breathless.",0
Peter and the Starcatchers,Dave Barry,"September 1, 2004",452 pages,"['Fantasy', 'Young Adult', 'Fiction']",4.05,"In an evocative and fast-paced adventure on the high seas and on a faraway island, an orphan boy named Peter and his mysterious new friend, Molly, overcome bands of pirates and thieves in their quest to keep a fantastical secret safe and save the world from evil. Best-selling authors Dave Barry and Ridley Pearson have turned back the clock to reveal the wonderful story that precedes J. M. Barrie’s beloved Peter Pan. Peter and the Starcatchers is brimming with richly developed characters, from the scary but somehow familiar Black Stache and ferocious Mister Grin to the sweet but sophisticated Molly and fearless Peter. Page after page of riveting adventures take readers of all ages on a voyage from a filthy, crime-ridden port in old England across the turbulent sea. Aboard the Neverland is a trunk that hold the “greatest treasure on earth” —but is it gold, jewels, or something far more mysterious and dangerous? Roiling waves and raging storms; skullduggery and pirate treachery provide the backdrop for battles at sea. Bone-crushing breakers eventually land our characters on Mollusk Island—where the action really heats up. This impossible-to-put-down tale leads readers on an unforgettable journey—fraught with danger yet filled with mystical and magical moments.",0
Crown of Midnight,Sarah J. Maas,"August 15, 2013",420 pages,"['Young Adult', 'Romance', 'Fiction']",4.36,"An alternative cover edition for this ISBN can be found here.""A line that should never be crossed is about to be breached.It puts this entire castle in jeopardy—and the life of your friend.""From the throne of glass rules a king with a fist of iron and a soul as black as pitch. Assassin Celaena Sardothien won a brutal contest to become his Champion. Yet Celaena is far from loyal to the crown. She hides her secret vigilantly; she knows that the man she serves is bent on evil.Keeping up the deadly charade becomes increasingly difficult when Celaena realizes she is not the only one seeking justice. As she tries to untangle the mysteries buried deep within the glass castle, her closest relationships suffer. It seems no one is above questioning her allegiances—not the Crown Prince Dorian; not Chaol, the Captain of the Guard; not even her best friend, Nehemia, a foreign princess with a rebel heart.Then one terrible night, the secrets they have all been keeping lead to an unspeakable tragedy. As Celaena's world shatters, she will be forced to give up the very thing most precious to her and decide once and for all where her true loyalties lie... and whom she is ultimately willing to fight for.",0
A Dirty Job,Christopher Moore,"March 21, 2006",387 pages,"['Humor', 'Fiction', 'Fantasy']",4.03,"Charlie Asher is a pretty normal guy with a normal life, married to a bright and pretty woman who actually loves him for his normalcy. They're even about to have their first child. Yes, Charlie's doing okay—until people start dropping dead around him, and everywhere he goes a dark presence whispers to him from under the streets. Charlie Asher, it seems, has been recruited for a new position: as Death.It's a dirty job. But, hey! Somebody's got to do it.",0
Undead and Unwed,MaryJanice Davidson,"March 2, 2004",288 pages,"['Vampires', 'Paranormal', 'Romance']",3.81,"First Betsy Taylor loses her job, then she's killed in a car accident.  But what really bites is that she can't seem to stay dead.  And now her new friends have the ridiculous idea that Betsy is the prophesied vampire queen, and they want her help in overthrowing the most obnoxious power-hungry vampire in five centuries.",0
Ask for Andrea,Noelle W. Ihli,"April 15, 2022",272 pages,"['Thriller', 'Horror', 'Mystery Thriller']",4.1,"James Carson has gotten away with murder three times.The only thing that might stop him from killing again? The three women he murdered.He hunted them online, masquerading as an eligible bachelor. Then he played the perfect gentleman, a thick layer of charm and a thousand-watt smile hiding the fact that his first dates end in shallow graves.What James doesn’t know is that his three victims have found each other. And that they're coming for him.Brecia, Meghan, and Skye might be dead, but they’re not gone. And they won’t rest until they find a way to keep him from killing again.The haunt is on.",0
The Edge of Never,J.A. Redmerski,"November 13, 2012",426 pages,"['Romance', 'New Adult', 'Contemporary']",4.22,"Twenty-year-old Camryn Bennett had always been one to think out-of-the-box, who knew she wanted something more in life than following the same repetitive patterns and growing old with the same repetitive life story. And she thought that her life was going in the right direction until everything fell apart.Determined not to dwell on the negative and push forward, Camryn is set to move in with her best friend and plans to start a new job. But after an unexpected night at the hottest club in downtown North Carolina, she makes the ultimate decision to leave the only life she’s ever known, far behind.With a purse, a cell phone and a small bag with a few necessities, Camryn, with absolutely no direction or purpose boards a Greyhound bus alone and sets out to find herself. What she finds is a guy named Andrew Parrish, someone not so very different from her and who harbors his own dark secrets. But Camryn swore never to let down her walls again. And she vowed never to fall in love.But with Andrew, Camryn finds herself doing a lot of things she never thought she’d do. He shows her what it’s really like to live out-of-the-box and to give in to her deepest, darkest desires. On their sporadic road-trip he becomes the center of her exciting and daring new life, pulling love and lust and emotion out of her in ways she never imagined possible. But will Andrew’s dark secret push them inseparably together, or tear them completely apart?
Due to sexual content and language, this book is recommended for 17+ – Adult Contemporary Women’s – New Adult Fiction",0
Prophecy of the Sisters,Michelle Zink,"August 1, 2009",343 pages,"['Fantasy', 'Young Adult', 'Paranormal']",3.55,"An ancient prophecy divides two sisters-One good...One evil...Who will prevail?Twin sisters Lia and Alice Milthorpe have just become orphans. They have also become enemies. As they discover their roles in a prophecy that has turned generations of sisters against each other, the girls find themselves entangled in a mystery that involves a tattoo-like mark, their parents' deaths, a boy, a book, and a lifetime of secrets. Lia and Alice don't know whom they can trust.They just know they can't trust each other.",0
Secrets of the Dragon Sanctuary,Brandon Mull,"January 1, 2009",535 pages,"['Fantasy', 'Young Adult', 'Middle Grade']",4.39,"Brace yourself for a shocking secret.Two hidden artifacts have been found. Three more remain unrecovered. More preserves face destruction as the Society of the Evening Star relentlessly pursues new talismans. Reading in Patton’s Journal of Secrets, Kendra learns the location of the key to a vault housing one of the artifacts. In order to retrieve it, the Knights of the Dawn must enter a death trap — a dragon sanctuary called Wyrmroost. The mission cannot proceed without stealing a sacred object zealously guarded by the centaurs. Anybody seen Seth?The race is on to acquire all five of the artifact keys to the great demon prison. Will the Knights of the Dawn conquer Wyrmroost? Who can stop the Sphinx? Can Vanessa be trusted to help? What artifact will be found next?",0
Unravel Me,Tahereh Mafi,"February 5, 2013",480 pages,"['Fantasy', 'Dystopia', 'Young Adult']",4.12,"The thrilling second installment in New York Times bestselling author Tahereh Mafi’s Shatter Me series.It should have taken Juliette a single touch to kill Warner. But his mysterious immunity to her deadly power has left her shaken, wondering why her ultimate defense mechanism failed against the person she most needs protection from.She and Adam were able to escape Warner’s clutches and join up with a group of rebels, many of whom have powers of their own. Juliette will finally be able to actively fight against The Reestablishment and try to fix her broken world. And perhaps these new allies can help her shed light on the secret behind Adam’s—and Warner’s—immunity to her killer skin.Juliette’s world is packed with high-stakes action and tantalizing romance, perfect for fans of the Red Queen series by Victoria Aveyard and the Darkest Minds trilogy by Alexandra Bracken.Ransom Riggs, #1 New York Times bestselling author of Miss Peregrine's Home for Peculiar Children, raved: ""A thrilling, high-stakes saga of self-discovery and forbidden love, the Shatter Me series is a must-read for fans of dystopian young-adult literature—or any literature!""",0
The Ocean at the End of the Lane,Neil Gaiman,"June 18, 2013",195 pages,"['Fantasy', 'Fiction', 'Magical Realism']",4.02,"A middle-aged man returns to his childhood home to attend a funeral. Although the house he lived in is long gone, he is drawn to the farm at the end of the road, where, when he was seven, he encountered a most remarkable girl, Lettie Hempstock, and her mother and grandmother. He hasn't thought of Lettie in decades, and yet as he sits by the pond (a pond that she'd claimed was an ocean) behind the ramshackle old farmhouse, the unremembered past comes flooding back. And it is a past too strange, too frightening, too dangerous to have happened to anyone, let alone a small boy.A groundbreaking work as delicate as a butterfly's wing and as menacing as a knife in the dark, The Ocean at the End of the Lane is told with a rare understanding of all that makes us human, and shows the power of stories to reveal and shelter us from the darkness inside and out.Includes bonus features: a meet with Neil Gaiman, a reading group guide, and an interview with Gaiman.",0
One Foot in the Grave,Jeaniene Frost,"May 1, 2008",357 pages,"['Vampires', 'Paranormal', 'Urban Fantasy']",4.28,"You can run from the grave, but you can’t hide…Half-vampire Cat Crawfield is now Special Agent Cat Crawfield, working for the government to rid the world of the rogue undead. She’s still using everything Bones, her sexy and dangerous ex, taught her, but when Cat is targeted for assassination, the only man who can help her is the vampire she left behind.Being around Bones awakens all her emotions, from the adrenaline rush of slaying vamps side by side to the reckless passion that consumed them. But a price on her head – wanted: dead or half-alive – means her survival depends on teaming up with Bones. And no matter how hard Cat tries to keep things professional between them, she’ll find that desire lasts forever … and Bones won’t let her get away again.",0
The Art of Racing in the Rain,Garth Stein,"May 13, 2008",336 pages,"['Fiction', 'Animals', 'Dogs']",4.23,"Enzo knows he is different from other dogs: a philosopher with a nearly human soul (and an obsession with opposable thumbs), he has educated himself by watching television extensively, and by listening very closely to the words of his master, Denny Swift, an up-and-coming race car driver.Through Denny, Enzo has gained tremendous insight into the human condition, and he sees that life, like racing, isn't simply about going fast. On the eve of his death, Enzo takes stock of his life, recalling all that he and his family have been through.A heart-wrenching but deeply funny and ultimately uplifting story of family, love, loyalty, and hope, The Art of Racing in the Rain is a beautifully crafted and captivating look at the wonders and absurdities of human life ... as only a dog could tell it.",0
Heir of Fire,Sarah J. Maas,"September 2, 2014",565 pages,"['Young Adult', 'Romance', 'Fantasy']",4.46,"Celaena has survived deadly contests and shattering heartbreak-but at an unspeakable cost. Now, she must travel to a new land to confront her darkest truth . . . a truth about her heritage that could change her life-and her future-forever. Meanwhile, brutal and monstrous forces are gathering on the horizon, intent on enslaving her world. Will Celaena find the strength to not only fight her inner demons, but to take on the evil that is about to be unleashed?",0
The Polymorph,Max Nowaz,"February 4, 2023",ebook,"['Science Fiction', 'Fiction', 'Science Fiction Fantasy']",4.28,"Arbitrator, Jim Brown is returning to Earth after completing a successful mission to put down a revolution on and also thwarting an invasion of the planet Pirrus, an Earth colony. While there he found out that he is part alien and this secret had been hidden from him since birth.Brown finds that an alien species has successfully assimilated themselves with the humans on Earth and is ruling over them covertly. When an attempt is made to kidnap him, he realises he has become a target in a hidden game where different groups are vying for power, complicated by the introduction of artificial humans and super androids to boost Earth’s population and armies.Some ruling factions are preparing for war against the planet Levita and re-conquest of a group of planets, former colonies in the Delta Quadrant, who have declared their independence from Earth.Brown realises that he is also running the gauntlet of former enemies who are out to get him. He is desperate to thwart the prospects of war against Levita, where he has a son he has never met and is also against re-colonisation after his recent experiences on Pirrus.Aboard The Space Adventurer, the cruise ship on which he is returning, he meets two beautiful women. Marika, who has been sent as his minder, by the EPA, Earth Policy Administration, to keep an eye on Brown as they don’t fully trust him and Leela, the daughter of Earth’s biggest industrialist, who is secretly building the super androids on a space hub, where the ship makes a stop.He soon realises that he is in a desperate battle for survival, before he can even reach Earth and the big bash the EPA is throwing for him, for successfully completing his mission on Pirrus.",0
Wild Magic,Tamora Pierce,"December 1, 1992",362 pages,"['Fantasy', 'Young Adult', 'Fiction']",4.31,"Young Daine's knack with horses gets her a job helping the royal horsemistress drive a herd of ponies to Tortall. Soon it becomes clear that Daine's talent, as much as she struggles to hide it, is downright magical. Horses and other animals not only obey, but listen to her words. Daine, though, will have to learn to trust humans before she can come to terms with her powers, her past, and herself.",0
No One Can Know,Kate Alice Marshall,"January 23, 2024",325 pages,"['Thriller', 'Mystery', 'Mystery Thriller']",3.67,"Fourteen years ago, the Palmer sisters―Emma, Juliette, and Daphne―left their home in Arden Hills and never returned. But when Emma discovers she’s pregnant and her husband loses his job, she has no option but to return to the house that she and her estranged sisters still own . . . and where their parents were murdered.Emma has never told anyone what she saw the night her parents died, even when she became the prime suspect. But her presence in the house threatens to uncover secrets that have stayed hidden for years, and the sisters are drawn together once again. As they face their memories of the past, rivalries restart, connections are forged, and, for the first time, Emma starts to ask questions about what really happened that night.The more Emma learns, the more riddles emerge. And Emma begins to wonder just what her siblings will do to keep the past buried, and whether she did the right thing staying quiet about what was whispered that night: “No one can know.”",0
Cress,Marissa Meyer,"February 4, 2014",552 pages,"['Fantasy', 'Young Adult', 'Science Fiction']",4.4,"In this third book in the Lunar Chronicles, Cinder and Captain Thorne are fugitives on the run, now with Scarlet and Wolf in tow. Together, they're plotting to overthrow Queen Levana and her army.Their best hope lies with Cress, a girl imprisoned on a satellite since childhood who's only ever had her netscreens as company. All that screen time has made Cress an excellent hacker. Unfortunately, she's just received orders from Levana to track down Cinder and her handsome accomplice.When a daring rescue of Cress goes awry, the group is separated. Cress finally has her freedom, but it comes at a higher price. Meanwhile, Queen Levana will let nothing prevent her marriage to Emperor Kai. Cress, Scarlet, and Cinder may not have signed up to save the world, but they may be the only hope the world has.",0
Look Closer,David Ellis,"July 5, 2022",448 pages,"['Thriller', 'Mystery Thriller', 'Mystery']",4.2,"""Simon and Vicky couldn't seem more a wealthy Chicago couple with a stable, if unexciting, marriage. But with these two... absolutely nothing is what it seems. When a beautiful socialite is found hanging in a mansion in a nearby suburb, Simon and Vicky's complex web of secrets begins to unravel. A whirlwind affair. A twenty-million-dollar trust fund about to come due. A decades-long grudge and an obsession with revenge. Both Vicky and Simon are liars--but just who exactly is conning who? Prepare to question everything you think you know in this wickedly clever novel of greed, revenge, obsession--and quite possibly the perfect murder."" -- page [4] of cover",0
An Abundance of Katherines,John Green,"September 21, 2006",229 pages,"['Young Adult', 'Fiction', 'Romance']",3.51,"Katherine V thought boys were grossKatherine X just wanted to be friendsKatherine XVIII dumped him in an e-mailK-19 broke his heartWhen it comes to relationships, Colin Singleton's type happens to be girls named Katherine. And when it comes to girls named Katherine, Colin is always getting dumped. Nineteen times, to be exact.On a road trip miles from home, this anagram-happy, washed-up child prodigy has ten thousand dollars in his pocket, a bloodthirsty feral hog on his trail, and an overweight, Judge Judy-loving best friend riding shotgun--but no Katherines. Colin is on a mission to prove The Theorem of Underlying Katherine Predictability, which he hopes will predict the future of any relationship, avenge Dumpees everywhere, and finally win him the girl.Love, friendship, and a dead Austro-Hungarian archduke add up to surprising and heart-changing conclusions in this ingeniously layered comic novel about reinventing oneself.",0
