Title,Author,Publication Date,Pages,Genre,Rating,Summary,Converted
The Moonstone,Wilkie Collins,"July 1, 1868",528 pages,"['Mystery', 'Fiction', 'Classics']",3.91,"Wilkie Collins’s spellbinding tale of romance, theft, and murder inspired a hugely popular genre–the detective mystery. Hinging on the theft of an enormous diamond originally stolen from an Indian shrine, this riveting novel features the innovative Sergeant Cuff, the hilarious house steward Gabriel Betteridge, a lovesick housemaid, and a mysterious band of Indian jugglers.This Modern Library Paperback Classic is set from the definitive 1871 edition.",1
Forrest Gump,Winston Groom,"December 31, 1986",248 pages,"['Fiction', 'Historical Fiction', 'Humor']",4.02,"Meet Forrest Gump, the lovable, herculean, and surprisingly savvy hero of this remarkable comic odyssey. After accidentally becoming the star of University of Alabama's football team, Forrest goes on to become a Vietnam War hero, a world-class Ping-Pong player, a villainous wrestler, and a business tycoon -- as he wonders with childlike wisdom at the insanity all around him. In between misadventures, he manages to compare battle scars with Lyndon Johnson, discover the truth about Richard Nixon, and survive the ups and downs of remaining true to his only love, Jenny, on an extraordinary journey through three decades of the American cultural landscape. Forrest Gump has one heck of a story to tell -- and you've got to read it to believe it...",1
A Tale of Two Cities,Charles Dickens,"November 26, 1859",337 pages,"['Classics', 'Fiction', 'Historical Fiction']",3.87,"The French Revolution comes to vivid life in Charles Dickens’s famous novel about the best of times and the worst of times…The storming of the Bastille…the death carts with their doomed human cargo…the swift drop of the guillotine blade—this is the French Revolution that Charles Dickens vividly captures in his famous work A Tale of Two Cities. With dramatic eloquence, he brings to life a time of terror and treason, a starving people rising in frenzy and hate to overthrow a corrupt and decadent regime. With insight and compassion, Dickens casts his novel of unforgettable scenes with some memorable characters: the sinister Madame Defarge, knitting her patterns of death; the gentle Lucie Manette, unswerving in her devotion to her broken father; Charles Darnay, the lover with a secret past; and dissolute Sydney Carton, whose unlikely heroism gives his life meaning.--penguinrandomhouse.com",1
The Picture of Dorian Gray,Oscar Wilde,"June 1, 1890",272 pages,"['Classics', 'Fiction', 'Horror']",4.13,"Oscar Wilde’s only novel is the dreamlike story of a young man who sells his soul for eternal youth and beauty.In this celebrated work Wilde forged a devastating portrait of the effects of evil and debauchery on a young aesthete in late-19th-century England. Combining elements of the Gothic horror novel and decadent French fiction, the book centers on a striking premise: As Dorian Gray sinks into a life of crime and gross sensuality, his body retains perfect youth and vigor while his recently painted portrait grows day by day into a hideous record of evil, which he must keep hidden from the world. For over a century, this mesmerizing tale of horror and suspense has enjoyed wide popularity. It ranks as one of Wilde's most important creations and among the classic achievements of its kind.",1
War and Peace,Leo Tolstoy,"January 1, 1869",1392 pages,"['Classics', 'Fiction', 'Historical Fiction']",4.16,"In Russia's struggle with Napoleon, Tolstoy saw a tragedy that involved all mankind. War and Peace broadly focuses on Napoleon’s invasion of Russia in 1812 and follows three of the most well-known characters in literature: Pierre Bezukhov, the illegitimate son of a count who is fighting for his inheritance and yearning for spiritual fulfillment; Prince Andrei Bolkonsky, who leaves his family behind to fight in the war against Napoleon; and Natasha Rostov, the beautiful young daughter of a nobleman who intrigues both men.As Napoleon’s army invades, Tolstoy brilliantly follows characters from diverse backgrounds—peasants and nobility, civilians and soldiers—as they struggle with the problems unique to their era, their history, and their culture. And as the novel progresses, these characters transcend their specificity, becoming some of the most moving—and human—figures in world literature.Tolstoy gave his personal approval to this translation, published here in a new single volume edition, which includes an introduction by Henry Gifford, and Tolstoy's important essay `Some Words about War and Peace'.",1
Ender’s Game,Orson Scott Card,"January 15, 1985",324 pages,"['Science Fiction', 'Fiction', 'Young Adult']",4.31,"Andrew ""Ender"" Wiggin thinks he is playing computer simulated war games; he is, in fact, engaged in something far more desperate. The result of genetic experimentation, Ender may be the military genius Earth desperately needs in a war against an alien enemy seeking to destroy all human life. The only way to find out is to throw Ender into ever harsher training, to chip away and find the diamond inside, or destroy him utterly. Ender Wiggin is six years old when it begins. He will grow up fast.But Ender is not the only result of the experiment. The war with the Buggers has been raging for a hundred years, and the quest for the perfect general has been underway almost as long. Ender's two older siblings, Peter and Valentine, are every bit as unusual as he is, but in very different ways. While Peter was too uncontrollably violent, Valentine very nearly lacks the capability for violence altogether. Neither was found suitable for the military's purpose. But they are driven by their jealousy of Ender, and by their inbred drive for power. Peter seeks to control the political process, to become a ruler. Valentine's abilities turn more toward the subtle control of the beliefs of commoner and elite alike, through powerfully convincing essays. Hiding their youth and identities behind the anonymity of the computer networks, these two begin working together to shape the destiny of Earth-an Earth that has no future at all if their brother Ender fails.",1
The Gunslinger,Stephen        King,"June 1, 1982",231 pages,"['Fantasy', 'Fiction', 'Horror']",3.92,"In the first book of this series, Stephen King introduces readers to one of his most enigmatic heroes, Roland of Gilead, The Last Gunslinger. He is a haunting figure, a loner on a spellbinding journey into good and evil. In his desolate world, which frighteningly mirrors our own, Roland pursues The Man in Black, encounters an alluring woman named Alice, and begins a friendship with the Kid from Earth called Jake. Both grippingly realistic and eerily dreamlike, The Gunslinger leaves readers eagerly awaiting the next chapter.",1
Animal Farm,George Orwell,"August 17, 1945",129 pages,"['Fiction', 'Dystopia', 'Fantasy']",4.0,"Animal Farm is an allegorical novella by George Orwell.The book tells the story of a group of farm animals who rebel against their human farmer, hoping to create a society where the animals can be equal, free, and happy. Ultimately, however, the rebellion is betrayed, and the farm ends up in a state as bad as it was before, under the dictatorship of a pig named Napoleon.One night, all the animals at Mr. Jones' Manor Farm assemble in a barn to hear old Major, a pig, describe a dream he had about a world where all animals live free from the tyranny of their human masters. Old Major dies soon after the meeting, but the animals — inspired by his philosophy of Animalism — plot a rebellion against Jones. Two pigs, Snowball and Napoleon, prove themselves important figures and planners of this dangerous enterprise. When Jones forgets to feed the animals, the revolution occurs, and Jones and his men are chased off the farm. Manor Farm is renamed Animal Farm, and the Seven Commandments of Animalism are painted on the barn wall...",1
Great Expectations,Charles Dickens,"January 1, 1861",544 pages,"['Classics', 'Fiction', 'Literature']",3.79,"Great Expectations charts the progress of Pip from childhood through often painful experiences to adulthood, as he moves from the Kent marshes to busy, commercial London, encountering a variety of extraordinary characters ranging from Magwitch, the escaped convict, to Miss Havisham, locked up with her unhappy past and living with her ward, the arrogant, beautiful Estella.Pip must discover his true self, and his own set of values and priorities. Whether such values allow one to prosper in the complex world of early Victorian England is the major question posed by Great Expectations, one of Dickens's most fascinating, and disturbing, novels.This edition includes the original, discarded ending, Dickens's brief working notes, and the serial instalments and chapter divisions in different editions. It also uses the definitive Clarendon text.",1
Northanger Abbey,Jane Austen,"December 20, 1817",260 pages,"['Classics', 'Fiction', 'Gothic']",3.85,"A wonderfully entertaining coming-of-age story, Northanger Abbey is often referred to as Jane Austen's ""Gothic parody."" Decrepit castles, locked rooms, mysterious chests, cryptic notes, and tyrannical fathers give the story an uncanny air, but one with a decidedly satirical twist.The story's unlikely heroine is Catherine Morland, a remarkably innocent seventeen-year-old woman from a country parsonage. While spending a few weeks in Bath with a family friend, Catherine meets and falls in love with Henry Tilney, who invites her to visit his family estate, Northanger Abbey. Once there, Catherine, a great reader of Gothic thrillers, lets the shadowy atmosphere of the old mansion fill her mind with terrible suspicions. What is the mystery surrounding the death of Henry's mother? Is the family concealing a terrible secret within the elegant rooms of the Abbey? Can she trust Henry, or is he part of an evil conspiracy? Catherine finds dreadful portents in the most prosaic events, until Henry persuades her to see the peril in confusing life with art.Executed with high-spirited gusto, Northanger Abbey is a lighthearted, yet unsentimental commentary on love and marriage.",1
Where the Wild Things Are,Maurice Sendak,"April 9, 1963",38 pages,"['Picture Books', 'Childrens', 'Fiction']",4.25,"Max, a wild and naughty boy, is sent to bed without his supper by his exhausted mother. In his room, he imagines sailing far away to a land of Wild Things. Instead of eating him, the Wild Things make Max their king.",1
Do Androids Dream of Electric Sheep?,Philip K. Dick,"January 1, 1968",244 pages,"['Science Fiction', 'Dystopia', 'Cyberpunk']",4.09,"It was January 2021, and Rick Deckard had a license to kill. Somewhere among the hordes of humans out there, lurked several rogue androids. Deckard's assignment--find them and then...""retire"" them. Trouble was, the androids all looked exactly like humans, and they didn't want to be found!",1
Daisy Jones & The Six,Taylor Jenkins Reid,"March 5, 2019",368 pages,"['Fiction', 'Historical Fiction', 'Audiobook']",4.2,"Everyone knows DAISY JONES & THE SIX, but nobody knows the reason behind their split at the absolute height of their popularity . . . until now.Daisy is a girl coming of age in L.A. in the late sixties, sneaking into clubs on the Sunset Strip, sleeping with rock stars, and dreaming of singing at the Whisky a Go Go. The sex and drugs are thrilling, but it’s the rock ’n’ roll she loves most. By the time she’s twenty, her voice is getting noticed, and she has the kind of heedless beauty that makes people do crazy things.Also getting noticed is The Six, a band led by the brooding Billy Dunne. On the eve of their first tour, his girlfriend Camila finds out she’s pregnant, and with the pressure of impending fatherhood and fame, Billy goes a little wild on the road.Daisy and Billy cross paths when a producer realizes that the key to supercharged success is to put the two together. What happens next will become the stuff of legend.The making of that legend is chronicled in this riveting and unforgettable novel, written as an oral history of one of the biggest bands of the seventies. Taylor Jenkins Reid is a talented writer who takes her work to a new level with Daisy Jones & The Six, brilliantly capturing a place and time in an utterly distinctive voice.",1
The Virgin Suicides,Jeffrey Eugenides,"January 1, 1993",249 pages,"['Fiction', 'Young Adult', 'Literary Fiction']",3.79,"The five Lisbon sisters are brought up in a strict household, and when the youngest kills herself, the oppression of the remaining sisters intensifies. As Therese, Mary, Bonnie and Lux are pulled deeper into isolation by their domineering mother, a group of neighborhood boys become obsessed with liberating the sisters. But what the boys don't know is, the Lisbon girls are beyond saving.",1
Sybil: The Classic True Story of a Woman Possessed by Sixteen Personalities,Flora Rheta Schreiber,"January 1, 1973",481 pages,"['Nonfiction', 'Psychology', 'Biography']",3.99,"Here is the unbelievable yet true story of Sybil Dorsett, a survivor of terrible childhood abuse who as an adult was a victim of sudden and mysterious blackouts. What happened during those blackouts has made Sybil's experience one of the most famous psychological cases in the world.",1
Marley and Me: Life and Love With the World’s Worst Dog,John Grogan,"January 1, 2005",291 pages,"['Nonfiction', 'Animals', 'Memoir']",4.14,"John and Jenny were young and deeply in love, with a perfect little house and not a care in the world. Then they brought home Marley, a wiggly yellow furball of a puppy. Life would never be the same.Marley quickly grew into an uncontrollable ninety-seven-pound steamroller of a Labrador retriever. Expelled from obedience school, even the tranquillisers prescribed by the vet couldn't stop him.Yet through the chaos and the hilarity, he won hearts and remained a steadfast model of devotion to his family, even when they were at their wits' end. Unconditional love, they would learn, comes in many forms.",1
12 Years a Slave,Solomon Northup,"February 5, 1853",248 pages,"['Nonfiction', 'History', 'Classics']",4.22,"Twelve Years a Slave, sub-title: Narrative of Solomon Northup, citizen of New-York, kidnapped in Washington city in 1841, and rescued in 1853, from a cotton plantation near the Red River in Louisiana, is a memoir by Solomon Northup as told to and edited by David Wilson. It is a slave narrative of a black man who was born free in New York state but kidnapped in Washington, D.C., sold into slavery, and kept in bondage for 12 years in Louisiana. He provided details of slave markets in Washington, D.C. and New Orleans, as well as describing at length cotton and sugar cultivation on major plantations in Louisiana.",1
The Namesake,Jhumpa Lahiri,"September 16, 2003",291 pages,"['Fiction', 'Literary Fiction', 'Contemporary']",4.02,"Jhumpa Lahiri's Interpreter of Maladies established this young writer as one the most brilliant of her generation. Her stories are one of the very few debut works -- and only a handful of collections -- to have won the Pulitzer Prize for fiction. Among the many other awards and honors it received were the New Yorker Debut of the Year award, the PEN/Hemingway Award, and the highest critical praise for its grace, acuity, and compassion in detailing lives transported from India to America.In The Namesake, Lahiri enriches the themes that made her collection an international bestseller: the immigrant experience, the clash of cultures, the conflicts of assimilation, and, most poignantly, the tangled ties between generations. Here again Lahiri displays her deft touch for the perfect detail — the fleeting moment, the turn of phrase — that opens whole worlds of emotion.The Namesake takes the Ganguli family from their tradition-bound life in Calcutta through their fraught transformation into Americans. On the heels of their arranged wedding, Ashoke and Ashima Ganguli settle together in Cambridge, Massachusetts. An engineer by training, Ashoke adapts far less warily than his wife, who resists all things American and pines for her family. When their son is born, the task of naming him betrays the vexed results of bringing old ways to the new world. Named for a Russian writer by his Indian parents in memory of a catastrophe years before, Gogol Ganguli knows only that he suffers the burden of his heritage as well as his odd, antic name. Lahiri brings great empathy to Gogol as he stumbles along the first-generation path, strewn with conflicting loyalties, comic detours, and wrenching love affairs. With penetrating insight, she reveals not only the defining power of the names and expectations bestowed upon us by our parents, but also the means by which we slowly, sometimes painfully, come to define ourselves.",1
Room,Emma Donoghue,"August 20, 2010",334 pages,"['Fiction', 'Contemporary', 'Thriller']",4.08,"To five-year-old-Jack, Room is the world. . . . It's where he was born, it's where he and his Ma eat and sleep and play and learn. At night, his Ma shuts him safely in the wardrobe, where he is meant to be asleep when Old Nick visits. Room is home to Jack, but to Ma it's the prison where she has been held for seven years. Through her fierce love for her son, she has created a life for him in this eleven-by-eleven-foot space. But with Jack's curiosity building alongside her own desperation, she knows that Room cannot contain either much longer.Room is a tale at once shocking, riveting, exhilarating--a story of unconquerable love in harrowing circumstances, and of the diamond-hard bond between a mother and her child.- from the back cover",1
Starship Troopers,Robert A. Heinlein,"December 1, 1959",264 pages,"['Science Fiction', 'Fiction', 'Military Fiction']",4.01,"The historians can’t seem to settle whether to call this one ""The Third Space War"" (or the fourth), or whether ""The First Interstellar War"" fits it better. We just call it “The Bug War."" Everything up to then and still later were ""incidents,"" ""patrols,"" or ""police actions."" However, you are just as dead if you buy the farm in an ""incident"" as you are if you buy it in a declared war...In one of Robert A. Heinlein’s most controversial bestsellers, a recruit of the future goes through the toughest boot camp in the Universe—and into battle with the Terran Mobile Infantry against mankind’s most alarming enemy.",1
American Psycho,Bret Easton Ellis,"March 6, 1991",399 pages,"['Fiction', 'Horror', 'Classics']",3.81,"Patrick Bateman is twenty-six and works on Wall Street. He is handsome, sophisticated, charming and intelligent. He is also a psychopath. Taking us to head-on collision with America's greatest dream—and its worst nightmare—American Psycho is a bleak, bitter, black comedy about a world we all recognize but do not wish to confront.",1
The Big Sleep,Raymond Chandler,"February 6, 1939",231 pages,"['Mystery', 'Fiction', 'Classics']",3.95,"When a dying millionaire hires Philip Marlowe to handle the blackmailer of one of his two troublesome daughters, Marlowe finds himself involved with more than extortion. Kidnapping, pornography, seduction, and murder are just a few of the complications he gets caught up in.This is an alternate cover edition.",1
2001: A Space Odyssey,Arthur C. Clarke,"April 28, 1968",297 pages,"['Science Fiction', 'Fiction', 'Classics']",4.17,"On the Moon, an enigma is uncovered.So great are the implications of this discovery that for the first time men are sent out deep into our solar system.But long before their destination is reached, things begin to go horribly, inexplicably wrong...One of the greatest-selling science fiction novels of our time, this classic book will grip you to the very end.",1
A Wrinkle in Time,Madeleine L'Engle,"January 1, 1962",203 pages,"['Fantasy', 'Fiction', 'Classics']",3.98,"It was a dark and stormy night; Meg Murry, her small brother Charles Wallace, and her mother had come down to the kitchen for a midnight snack when they were upset by the arrival of a most disturbing stranger.""Wild nights are my glory,"" the unearthly stranger told them. ""I just got caught in a downdraft and blown off course. Let me sit down for a moment, and then I'll be on my way. Speaking of ways, by the way, there is such a thing as a tesseract.""A tesseract (in case the reader doesn't know) is a wrinkle in time. To tell more would rob the reader of the enjoyment of Miss L'Engle's unusual book. A Wrinkle in Time, winner of the Newberry Medal in 1963, is the story of the adventures in space and time of Meg, Charles Wallace, and Calvin O'Keefe (athlete, student, and one of the most popular boys in high school). They are in search of Meg's father, a scientist who disappeared while engaged in secret work for the government on the tesseract problem.",1
Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,"January 5, 1886",139 pages,"['Horror', 'Gothic', 'Science Fiction']",3.83,"Robert Louis Stevenson's masterpiece of the duality of good and evil in man's nature sprang from the darkest recesses of his own unconscious—during a nightmare from which his wife awakened him, alerted by his screams. More than a hundred years later, this tale of the mild-mannered Dr. Jekyll and the drug that unleashes his evil, inner persona—the loathsome, twisted Mr. Hyde—has lost none of its ability to shock. Its realistic police-style narrative chillingly relates Jekyll's desperation as Hyde gains control of his soul—and gives voice to our own fears of the violence and evil within us. Written before Freud's naming of the ego and the id, Stevenson's enduring classic demonstrates a remarkable understanding of the personality's inner conflicts—and remains the irresistibly terrifying stuff of our worst nightmares.",1
Rosemary’s Baby,Ira Levin,"March 12, 1967",308 pages,"['Horror', 'Fiction', 'Classics']",4.05,"Suppose you were an up-to-date young wife who moved into an old and elegant New York apartment house with a rather strange past. Suppose that only after you became pregnant did you begin to suspect the building harbored a diabolically evil group of devil worshippers who had mastered the arts of black magic and witchcraft. Suppose that this satanic conspiracy set out to claim not only your husband but your baby.Well, that's what happened to Rosemary... Or did it...?",1
Gorky Park,Martin Cruz Smith,"January 1, 1981",433 pages,"['Mystery', 'Fiction', 'Thriller']",4.04,"A triple murder in a Moscow amusement center: three corpses found frozen in the snow, faces and fingers missing. Chief homicide investigator Arkady Renko is brilliant, sensitive, honest, and cynical about everything except his profession. To identify the victims and uncover the truth, he must battle the KGB, FBI, and the New York City police as he pursues a rich, ruthless, and well-connected American fur dealer. Meanwhile, Renko is falling in love with a beautiful, headstrong dissident for whom he may risk everything.",1
Percy Jackson and the Last Olympian,Rick Riordan,"May 5, 2009",368 pages,"['Fantasy', 'Young Adult', 'Mythology']",4.55,Percy Jackson and the Last Olympian [Paperback] Rick Riordan,1
Ready Player One,Ernest Cline,"August 16, 2011",480 pages,"['Science Fiction', 'Fiction', 'Young Adult']",4.23,"Librarian's note: An alternate cover edition can be found hereIN THE YEAR 2044, reality is an ugly place. The only time teenage Wade Watts really feels alive is when he's jacked into the virtual utopia known as the OASIS. Wade's devoted his life to studying the puzzles hidden within this world's digital confines, puzzles that are based on their creator's obsession with the pop culture of decades past and that promise massive power and fortune to whoever can unlock them. But when Wade stumbles upon the first clue, he finds himself beset by players willing to kill to take this ultimate prize. The race is on, and if Wade's going to survive, he'll have to win—and confront the real world he's always been so desperate to escape.",1
The First Wives Club,Olivia Goldsmith,"January 1, 1992",480 pages,"['Fiction', 'Chick Lit', 'Humor']",3.89,"Don't get mad. Get everything. When their best friend commits suicide over her divorce, Elise, Brenda and Annie decide enough is enough. Each was crucial to her husband's career. But now that the men are successful, they've traded in their wives for newer, blonder models. Over lunch one day they form the First Wives Club. But this is no support group. This is the SAS in Chanel. Painstakingly, inexorably, they plan the downfall of the men who've wrecked their lives—and know that revenge has never tasted sweeter...",1
A Monster Calls,Patrick Ness,"May 5, 2011",237 pages,"['Fantasy', 'Young Adult', 'Fiction']",4.35,"The bestselling novel about love, loss and hope from the twice Carnegie Medal-winning Patrick Ness. Conor has the same dream every night, ever since his mother first fell ill, ever since she started the treatments that don't quite seem to be working. But tonight is different. Tonight, when he wakes, there's a visitor at his window. It's ancient, elemental, a force of nature. And it wants the most dangerous thing of all from Conor. It wants the truth. Patrick Ness takes the final idea of the late, award-winning writer Siobhan Dowd and weaves an extraordinary and heartbreaking tale of mischief, healing and above all, the courage it takes to survive.",1
The Lost World,Michael Crichton,"October 5, 1995",448 pages,"['Science Fiction', 'Fiction', 'Thriller']",3.86,"It is now six years since the secret disaster at Jurassic Park, six years since the extraordinary dream of science and imagination came to a crashing end—the dinosaurs destroyed, the park dismantled, the island indefinitely closed to the public. There are rumors that something has survived....",1
Annie,Leonore Fleischer,"January 1, 1982",151 pages,"['Childrens', 'Fiction']",3.81,"Life was hard for everyone in the Depression -- but especially hard for children in an orphanage. Annie is waiting, hoping the parents who left her there will return for her one day.Suddenly Daddy Warbucks whisks Annie and her lovable dog Sandy off to his fabulous mansion where they all begin the most exciting, scary, and fantastic adventure of their lives!",1
The Cider House Rules,John Irving,"May 10, 1985",1064 pages,"['Fiction', 'Classics', 'Historical Fiction']",4.16,"Raised from birth in the orphanage at St. Cloud's, Maine, Homer Wells has become the protege of Dr. Wilbur Larch, its physician and director. There Dr. Larch cares for the troubled mothers who seek his help, either by delivering and taking in their unwanted babies or by performing illegal abortions. Meticulously trained by Dr. Larch, Homer assists in the former, but draws the line at the latter. Then a young man brings his beautiful fiancee to Dr. Larch for an abortion, and everything about the couple beckons Homer to the wide world outside the orphanage ...",1
A Midsummer Night’s Dream,William Shakespeare,"January 1, 1595",298 pages,"['Plays', 'Fiction', 'Fantasy']",3.94,"Shakespeare's intertwined love polygons begin to get complicated from the start--Demetrius and Lysander both want Hermia but she only has eyes for Lysander. Bad news is, Hermia's father wants Demetrius for a son-in-law. On the outside is Helena, whose unreturned love burns hot for Demetrius. Hermia and Lysander plan to flee from the city under cover of darkness but are pursued by an enraged Demetrius (who is himself pursued by an enraptured Helena). In the forest, unbeknownst to the mortals, Oberon and Titania (King and Queen of the faeries) are having a spat over a servant boy. The plot twists up when Oberon's head mischief-maker, Puck, runs loose with a flower which causes people to fall in love with the first thing they see upon waking. Throw in a group of labourers preparing a play for the Duke's wedding (one of whom is given a donkey's head and Titania for a lover by Puck) and the complications become fantastically funny.",1
Ordinary People,Judith Guest,"July 19, 1976",263 pages,"['Fiction', 'Classics', 'Contemporary']",3.93,"The Jarrets are a typical American family. Calvin is a determined, successful provider and Beth an organized, efficient wife. They had two sons, Conrad and Buck, but now they have one. In this memorable, moving novel, Judith Guest takes the reader into their lives to share their misunderstandings, pain...and ultimate healing. (back cover)",1
The End of the Affair,Graham Greene,"January 1, 1951",160 pages,"['Fiction', 'Classics', 'Romance']",3.9,"""A story has no beginning or end: arbitrarily one chooses a moment of experience from which to look ahead..."" ""This is a record of hate far more than of love,"" writes Maurice Bendrix in the opening passages of The End of the Affair, and it is a strange hate indeed that compels him to set down the retrospective account of his adulterous affair with Sarah Miles. Now, a year after Sarah's death, Bendrix seeks to exorcise the persistence of his passion by retracing its course from obsessive love to love-hate. At first, he believes he hates Sarah and her husband, Henry. Yet as he delves deeper into his emotional outlook, Bendrix's hatred shifts to the God he feels has broken his life, but whose existence at last comes to recognize.",1
Left Behind,Tim LaHaye,"September 29, 1995",470 pages,"['Fiction', 'Christian', 'Christian Fiction']",3.86,"An airborne Boeing 747 is headed to London when, without any warning, passengers mysteriously disappear from their seats. Terror and chaos slowly spread not only through the plane but also worldwide as unusual events continue to unfold. For those who have been left behind, the apocalypse has just begun...",1
The Lorax,Dr. Seuss,"January 1, 1971",72 pages,"['Childrens', 'Picture Books', 'Fiction']",4.35,"""Unless someone like you... cares a whole awful lot... nothing is going to get better... It's not.""Long before saving the earth became a global concern, Dr. Seuss, speaking through his character the Lorax, warned against mindless progress and the danger it posed to the earth's natural beauty.His classic cautionary tale is now available in an irresistible mini-edition, perfect for backpack or briefcase, for Arbor Day, Earth Day, and every day.",1
Cheaper by the Dozen,Frank B. Gilbreth Jr.,"January 1, 1948",224 pages,"['Nonfiction', 'Classics', 'Biography']",4.0,"""Dad had enough gall to be divided into three parts."" Dad was Frank B. Gilbreth, to the world a distinguished innovator in scientific factory management, and to his family of six boys and six girls a lively, unpredictable and wholly beloved autocrat.Their house in Montclair, New Jersey, was a sort of laboratory for the elimination of waste motions - ""motion study"" as the elder Gilbreth called it. The children made excellent, if occasionally unwilling, guinea pigs.Only a motion-study expert could have coped with their temperamental Pierce Arrow (nicknamed ""Foolish Carriage""). But Dad found no difficulty in blowing all three horns (one electric, two of the bulb variety) as he stepped on the gas, steered madly through traffic, puffed on his cigar, cuffed a noisy youngster in the back seat, and bellowed, ""Road hog, road hog,"" at the unwary.The annual trip to their summer home in Nantucket, Massachusetts, was always fraught with drama. They inevitably caused a sensation when they passed through a small town, and were once taken for an entire orphanage on an outing. Stops were, of course, frequent and once when one of the twelve got left behind, the loss was not discovered for several hours.Democracy was religiously practiced in the Gilbreth family through the medium of the family council. There was the matter of the dog, for instance. Dad firmly believed that ""any pet which didn't lay eggs was an extravagance that a man with twelve children could ill afford."" But the vote was twelve to one, with Mother abstaining, and the dog was added to the general bedlam.The Gilbreths astounded the Nantucket natives (who considered the Gilbreth homestead - a pair of lighthouses with a cottage squeezed between - a must stopping place for visiting tourists), paralyzed the Montclair schools, and routed the visiting psychiatrists. Their high jinks are faithfully reported by two of the famous dozen in this uproarious book.",1
The Woman in White,Wilkie Collins,"November 26, 1859",672 pages,"['Classics', 'Mystery', 'Gothic']",4.01,"Librarian note: Alternate covers can be found here and here.'In one moment, every drop of blood in my body was brought to a stop... There, as if it had that moment sprung out of the earth, stood the figure of a solitary Woman, dressed from head to foot in white'The Woman in White famously opens with Walter Hartright's eerie encounter on a moonlit London road. Engaged as a drawing master to the beautiful Laura Fairlie, Walter becomes embroiled in the sinister intrigues of Sir Percival Glyde and his 'charming' friend Count Fosco, who has a taste for white mice, vanilla bonbons, and poison. Pursuing questions of identity and insanity along the paths and corridors of English country houses and the madhouse, The Woman in White is the first and most influential of the Victorian genre that combined Gothic horror with psychological realism.Matthew Sweet's introduction explores the phenomenon of Victorian 'sensation' fiction, and discusses Wilkie Collins's biographical and societal influences. Included in this edition are appendices on theatrical adaptations of the novel and its serialisation history.",1
Bridget Jones: The Edge of Reason,Helen Fielding,"November 18, 1999",352 pages,"['Chick Lit', 'Fiction', 'Romance']",3.62,"Lurching from the cappuccino bars of Notting Hill to the blissed-out shores of Thailand, Bridget Jones searches for The Truth in spite of pathetically unevolved men, insane dating theories, and Smug Married advice (""'I'm just calling to say in the potty! In the potty! Well, do it in Daddy's hand, then!'""). She experiences a zeitgeist-esque Spiritual Epiphany somewhere between the pages of ""How to Find the Love You Want Without Seeking It"" (""can self-help books really self help?""), protective custody, and a lightly chilled Chardonnay.",1
The African Queen,C.S. Forester,"January 1, 1935",257 pages,"['Fiction', 'Classics', 'Historical Fiction']",4.0,"As World War I reaches the heart of the African jungle, Charlie Allnutt and Rose Sayer, a dishevelled trader, and an English spinster missionary, find themselves thrown together by circumstance in German Central Africa. Fighting time, heat, malaria, and bullets, they make their escape on the rickety steamboat The African Queen... and hatch their own outrageous military plan. Originally published in 1935, The African Queen is a tale replete with vintage Forester drama - unrelenting suspense, reckless heroism, impromptu military manoeuvres, near-death experiences - and a good old-fashioned love story to boot.",1
Abraham Lincoln: Vampire Hunter,Seth Grahame-Smith,"February 16, 2010",433 pages,"['Fiction', 'Fantasy', 'Historical Fiction']",3.71,"Indiana. Moonlight falls through the dense woods that surround a one-room cabin, where a nine-year-old Abraham Lincoln kneels at his suffering mother's bedside. She's been stricken with something the old-timers call ""Milk Sickness.""""My baby boy..."" she whispers before dying.Only later will the grieving Abe learn that his mother's fatal affliction was actually the work of a vampire.When the truth becomes known to young Lincoln, he writes in his journal, "" henceforth my life shall be one of rigorous study and devotion. I shall become a master of mind and body. And this mastery shall have but one purpose ..."" Gifted with his legendary height, strength, and skill with an ax, Abe sets out on a path of vengeance that will lead him all the way to the White House.While Abraham Lincoln is widely lauded for saving a and freeing millions of slaves, his valiant fight against the forces of the undead has remained in the shadows for hundreds of years. That is, until Seth Grahame-Smith stumbled upon The Secret Journal of Abraham Lincoln , and became the first living person to lay eyes on it in more than 140 years.Using the journal as his guide and writing in the grand biographical style of Doris Kearns Goodwin and David McCullough, Seth has reconstructed the true life story of our greatest president for the first time-all while revealing the hidden history behind the Civil War and uncovering the role vampires played in the birth, growth, and near-death of our nation.",1
